"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","sigma_1","sigma_2","sigma_3","sigma_4","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"alpha_1",-10.9139364212751,7.27595761418343,-520.230969414115,43.6557456851006,-3903.55126000941,130.967237055302,-93910.7849262655,65.4836185276508,-3023.16038869321,-4336.47073805332,-3.63797880709171,-3.63797880709171,-47.2937244921923,32.7418092638254,-549.334799870849,-40.0177668780088,-3106.83390125632,-21.8278728425503,-232.83064365387,-1131.41140900552,-3.63797880709171,3.63797880709171,109.139364212751,7.27595761418343,109.139364212751,18.1898940354586,-12041.7098514736,0,367.435859516263,1044.09991763532,0,0,-14.5519152283669,3.63797880709171,-327.418092638254,58.2076609134674,-7570.63389755785,0,-160.071067512035,-953.150447458029,-3.63797880709171,0,0,0,14.5519152283669,7.27595761418343,7.27595761418343,7.27595761418343,3.63797880709171,-3.63797880709171,0,0,0,0,0,0,0,0,0,0,-3.63797880709171,0,-3.63797880709171,0,-3.63797880709171
"beta_w1_1",7.27595761418343,-523.868948221207,-37904.1011910886,65.4836185276508,2728.48410531878,-3026.79836750031,-767602.61435993,1837.17929758132,-94263.6688705534,-23897.8827837855,-3.63797880709171,-47.2937244921923,-1131.41140900552,-25.465851649642,-1415.17375595868,-229.192664846778,-75884.599937126,1156.87726065516,-7032.21303410828,5929.90545555949,3.63797880709171,112.777343019843,9582.43617787957,0,-1262.37864606082,356.521923094988,717544.025974348,2077.28589884937,77463.4827394038,23497.7051150054,3.63797880709171,-14.5519152283669,29.1038304567337,0,844.011083245277,-160.071067512035,16887.4976225197,69.1215973347425,796.717358753085,2848.53740595281,18.1898940354586,0,-3.63797880709171,3.63797880709171,-47.2937244921923,-29.1038304567337,-25.465851649642,-32.7418092638254,-21.8278728425503,-14.5519152283669,-7.27595761418343,-7.27595761418343,0,-3.63797880709171,-3.63797880709171,-3.63797880709171,-3.63797880709171,-3.63797880709171,0,0,0,0,0,-3.63797880709171,-3.63797880709171
"beta_w2_1",-520.230969414115,-37904.1011910886,-4043347.87162952,1840.81727638841,-138847.099151462,-94256.3929129392,-43322510.4643498,216477.928915992,-7197711.9660005,-816009.560367092,-47.2937244921923,-1127.77343019843,-29569.4917440414,1160.51523946226,-25571.3530350477,-7028.57505530119,-2122087.6078587,17946.1494553834,-187734.258361161,54809.7887076437,112.777343019843,9582.43617787957,597188.773099333,2080.92387765646,17349.5209310204,77005.0974097103,48494912.3347178,114159.774966538,5146150.21529607,1182499.54539351,-10.9139364212751,29.1038304567337,-763.97554948926,72.7595761418343,-4063.62232752144,800.355337560177,-189545.971807092,240.106601268053,-6053.59673500061,-16287.2311193496,90.9494701772928,-18.1898940354586,-98.2254277914762,-7.27595761418343,-87.3114913702011,18.1898940354586,10.9139364212751,-83.6735125631094,-40.0177668780088,-138.243194669485,-3.63797880709171,-43.6557456851006,-7.27595761418343,-7.27595761418343,-47.2937244921923,-21.8278728425503,-47.2937244921923,-14.5519152283669,-65.4836185276508,-21.8278728425503,-69.1215973347425,0,-40.0177668780088,-18.1898940354586,-7.27595761418343
"beta_ta1_1",43.6557456851006,65.4836185276508,1840.81727638841,-3899.91328120232,79457.0951256901,-4336.47073805332,-420775.904785842,2728.48410531878,-23908.7967202067,124295.183923095,32.7418092638254,-21.8278728425503,1160.51523946226,-549.334799870849,32170.646591112,-1127.77343019843,90411.0493138433,-1411.53577715158,5929.90545555949,15956.1750479043,10.9139364212751,3.63797880709171,2080.92387765646,112.777343019843,1673.47025126219,1044.09991763532,233347.236644477,-1262.37864606082,23595.9305427969,-26248.0170931667,3.63797880709171,0,72.7595761418343,-323.780113831162,3772.58402295411,-945.874489843845,161679.05414477,844.011083245277,2855.81336356699,20885.6363315135,-29.1038304567337,21.8278728425503,36.3797880709171,-7.27595761418343,-54.5696821063757,-76.397554948926,-36.3797880709171,-40.0177668780088,-29.1038304567337,0,0,203.726813197136,112.777343019843,127.32925824821,123.691279441118,83.6735125631094,32.7418092638254,29.1038304567337,25.465851649642,18.1898940354586,21.8278728425503,0,14.5519152283669,0,3.63797880709171
"beta_ta2_1",-3903.55126000941,2728.48410531878,-138847.099151462,79457.0951256901,-4750952.93950289,124273.356050253,-31127005.0588064,27866.9176623225,-883133.907336742,-5594843.96944754,-549.334799870849,-1415.17375595868,-25574.9910138547,32170.646591112,-800395.355327055,15948.8990902901,-3506575.01257956,-9178.62053029239,-101059.413282201,-1306343.61994453,109.139364212751,-1262.37864606082,17382.2627402842,1669.8322724551,89410.605141893,-26273.4829448164,1464701.19943842,55948.4760742635,27863.2796835154,1282911.39844805,-327.418092638254,844.011083245277,-4067.26030632854,3772.58402295411,-259857.188211754,20900.1882467419,-3328626.91720948,-7312.33740225434,-49374.6483698487,-826999.894343317,-920.408638194203,112.777343019843,40.0177668780088,-3.63797880709171,3812.60178983212,2630.25867752731,1866.28312803805,2295.56462727487,1320.58630697429,163.709046319127,207.364792004228,-647.560227662325,-909.494701772928,-633.008312433958,-523.868948221207,-345.607986673713,76.397554948926,-116.415321826935,-1229.636836797,-873.114913702011,-1335.13822220266,0,-938.598532229662,-76.397554948926,-58.2076609134674
"beta_Ec1_1",130.967237055302,-3026.79836750031,-94256.3929129392,-4336.47073805332,124273.356050253,-94132.7016334981,1062555.3841237,-23894.2448049784,-768606.696510687,-419135.176343843,-40.0177668780088,-229.192664846778,-7028.57505530119,-1127.77343019843,15952.5370690972,-3117.7478376776,-1290434.73862112,5929.90545555949,-75997.3772801459,90265.5301615596,21.8278728425503,360.15990190208,77052.3911342025,1044.09991763532,-26273.4829448164,-12805.6854009628,9654770.11050098,23483.153199777,680109.224049374,220701.622311026,58.2076609134674,-160.071067512035,796.717358753085,-949.512468650937,20896.5502679348,-7563.35793994367,913598.341867328,2852.1753847599,16723.7885762006,161871.867021546,192.812876775861,10.9139364212751,101.863406598568,32.7418092638254,-771.251507103443,-469.299266114831,-447.471393272281,-432.919478043914,-258.296495303512,-160.071067512035,-90.9494701772928,218.278728425503,87.3114913702011,127.32925824821,170.985003933311,192.812876775861,65.4836185276508,7.27595761418343,-58.2076609134674,0,-43.6557456851006,0,10.9139364212751,-25.465851649642,-14.5519152283669
"beta_Ec2_1",-93910.7849262655,-767602.61435993,-43322510.4643498,-420775.904785842,-31127005.0588064,1062555.3841237,-12992932082.8523,-12047265.045112,-417397503.042594,-269638683.676021,-3172.31751978397,-77106.9608163089,-2146305.63277751,89719.8333404958,-3512468.53824705,-1316333.5097488,-39723796.362523,794563.675299287,-21333053.1551037,8091374.18400496,-12914.8247651756,658252.247376367,44453747.2503725,212421.582546085,1067088.30571733,9150291.58932157,3528054527.12346,10840507.4570328,401583871.280309,153017590.4918,-7403.28687243164,18004.3571162969,-163676.304509863,161868.229042739,-3333068.88933294,805343.0065047,-38195634.2607737,-468884.536530823,-2646309.4400242,-35592685.8901512,-10724.7615233064,-4201.86552219093,29987.859306857,-2797.60570265353,26739.1442321241,22297.1721086651,41411.112761125,4569.30138170719,14053.5121317953,-24178.0071519315,1480.65737448633,21474.9888982624,-2775.77782981098,3023.16038869321,26360.7944361866,14148.0995807797,16530.9756994247,10266.3761936128,771.251507103443,5311.4490583539,1848.09323400259,0,-3270.54294757545,-8792.99477674067,4409.23031419516
"beta_wta_1",65.4836185276508,1837.17929758132,216477.928915992,2728.48410531878,27866.9176623225,-23894.2448049784,-12047265.045112,-138847.099151462,-816544.343251735,-882992.026163265,-21.8278728425503,1160.51523946226,17938.8734977692,-1415.17375595868,-9204.08638194203,5929.90545555949,795698.724687099,-25571.3530350477,54769.7709407657,-101132.172858343,3.63797880709171,2080.92387765646,114243.448479101,-1262.37864606082,55952.1140530705,23479.5152209699,12134863.936808,17374.98678267,1188000.16934983,27070.2003035694,3.63797880709171,69.1215973347425,240.106601268053,847.649062052369,-7305.06144464016,2852.1753847599,-475873.093819246,-4067.26030632854,-16290.8690981567,-49334.6306029707,36.3797880709171,-112.777343019843,-105.50138540566,36.3797880709171,214.640749618411,170.985003933311,203.726813197136,123.691279441118,101.863406598568,65.4836185276508,32.7418092638254,-422.005541622639,-258.296495303512,-265.572452917695,-229.192664846778,-123.691279441118,-7.27595761418343,-54.5696821063757,-105.50138540566,-61.8456397205591,-87.3114913702011,0,-58.2076609134674,-10.9139364212751,-7.27595761418343
"beta_wEc_1",-3023.16038869321,-94263.6688705534,-7197711.9660005,-23908.7967202067,-883133.907336742,-768606.696510687,-417397503.042594,-816544.343251735,-43275060.3067689,-11949246.9821125,-229.192664846778,-7032.21303410828,-187861.587619409,5929.90545555949,-101113.982964307,-76070.1368562877,-20965537.2600537,54813.4266864508,-2121218.13092381,795509.549789131,360.15990190208,76848.6643210053,5109333.86976831,23388.5657507926,23461.3253269345,673873.728374019,437350878.200959,1175139.91426677,45879904.0643498,11480693.5016531,-160.071067512035,800.355337560177,-5973.56120124459,2855.81336356699,-49345.544539392,16756.5303854644,-2455679.35053259,-16250.8513312787,-191143.044503406,-477233.697893098,-280.124368146062,-163.709046319127,316.504156216979,-134.605215862393,600.266503170133,924.046617001295,1102.30757854879,331.056071445346,54.5696821063757,-1058.65183286369,50.931703299284,243.744580075145,116.415321826935,138.243194669485,356.521923094988,352.883944287896,189.174897968769,112.777343019843,-192.812876775861,-138.243194669485,-203.726813197136,0,-141.881173476577,-109.139364212751,14.5519152283669
"beta_taEc_1",-4336.47073805332,-23897.8827837855,-816009.560367092,124295.183923095,-5594843.96944754,-419135.176343843,-269638683.676021,-882992.026163265,-11949246.9821125,-31098796.1711362,-1127.77343019843,5926.2674767524,54758.8570043445,15948.8990902901,-1306234.48058031,90163.666754961,8153852.83203796,-101055.775303394,794814.695836976,-3508961.52667701,1047.73789644241,23446.7734117061,1179298.12404327,-26284.3968812376,1282525.7726945,220177.753362805,167161975.696217,25116.6056841612,11572337.8257826,1313677.78521962,-949.512468650937,2852.1753847599,-16272.6792041212,20907.4642043561,-827421.899884939,161937.350640073,-36105779.1451458,-49378.2863486558,-477739.376947284,-3341916.45379178,1255.10268844664,-1877.19706445932,-1593.43471750617,505.679054185748,5835.31800657511,4994.94490213692,5020.41075378656,2150.0454749912,2011.80228032172,-120.053300634027,622.094376012683,-3259.62901115417,-2630.25867752731,-3357.85443894565,-138.243194669485,-1036.82396002114,978.616299107671,-480.213202536106,-7159.54229235649,-3157.76560455561,-6821.21026329696,0,-4125.467967242,-1040.46193882823,-592.990545555949
