"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH",2.19330563902405,0.102174877548422,21.4661929786471,0.379327294339556,5.78209285688972
"theta_w",-3.71326276526386,0.21039115443416,-17.6493292945255,0.868135341268911,-4.2772855668292
"theta_leisure_socialization",0.290417883626465,0.00240052588792233,120.980942170894,0.0032396856852362,89.6438456822984
"theta_leisure_hobbies",0.0465334861258043,0.00125357822960713,37.1205282819787,0.00181220911804102,25.6777684553902
"theta_leisure_reading",0.042535118728437,0.000999866012069259,42.5408186847046,0.00131523568258953,32.3403016596165
"theta_leisure_audio",0.0438215339503896,0.00127032658463666,34.4962740136022,0.00170720949153597,25.6685158837557
"theta_leisure_video",0.197033039015853,0.0020978898713838,93.9196292920214,0.00273950360113454,71.9228983434274
"theta_leisure_computer",0.192909101618366,0.00216576833102812,89.0719006528227,0.00314123135669616,61.411936821254
"phi_1",1.87538767287799,0.094788430084537,19.7849850578328,0.384926864313722,4.8720623233756
"sigma_1",12.6200882884515,0.181117785925132,69.6789010752824,0.553997444120216,22.7800478547207
"sigma_2",8.1286154768535,0.087727300326545,92.6577638499826,0.140766686370677,57.7453066945728
"sigma_3",3.71356778959421,0.0372925136221701,99.5794444755935,0.123954658591852,29.9590820690486
"sigma_4",2.93165787528285,0.0293888487032323,99.7540905697478,0.0844597705117134,34.7107014087408
"sigma_5",3.72527568034419,0.0371958156300083,100.153084889978,0.1172039944833,31.7845453712329
"sigma_6",6.22516122880531,0.0651845418418457,95.5005750275754,0.0886992552205844,70.182790298792
"sigma_7",6.86457917234788,0.072542202721163,94.6287666330438,0.121000566303445,56.7317937598153
"sigma_8",41.933160445705,0.442982664678299,94.6609512951427,0.965292902694168,43.4408668381048
"rho_12",-0.49281029617907,0.0146010682467534,-33.7516603477728,0.0325445562196176,-15.1426337742473
"rho_13",-0.198021258194533,0.0158890499384525,-12.462750067599,0.0157496977207367,-12.5730196036595
"rho_14",-0.173861343809538,0.0161479711409637,-10.7667608699455,0.016508781371951,-10.5314462583492
"rho_15",-0.165399641846821,0.0162565907476232,-10.1743129549474,0.0184048235265506,-8.98675510842132
"rho_16",-0.327683626043511,0.0152531726235967,-21.4829815494637,0.0171069595569905,-19.1549892283231
"rho_17",-0.444235467910327,0.0159289382919285,-27.8885798770048,0.0348651772458874,-12.7415232906274
"rho_18",0.477601785318389,0.0146191555759905,32.6695877087983,0.0358682454848929,13.315448772635
"rho_23",-0.0240485058805908,0.0148406676057264,-1.62044636531793,0.0171116047896969,-1.40539161441309
"rho_24",-0.0234642477915768,0.0146266461370011,-1.60421244705027,0.0154851623349659,-1.5152729615623
"rho_25",-0.121292559903263,0.0145833379040444,-8.31720150087345,0.0156595141191498,-7.74561451781801
"rho_26",-0.141549473717292,0.0144067709112986,-9.82520473108108,0.0202577117450352,-6.98743646364615
"rho_27",-0.0724944536292721,0.0216539004137104,-3.34787046417612,0.0477158753519359,-1.51929422010134
"rho_28",-0.30118497159307,0.0162975650610197,-18.4803662673169,0.0309877254912553,-9.71949269648926
"rho_34",0.027974416819203,0.0141854033199747,1.97205649978325,0.0161576207898552,1.7313450527795
"rho_35",-0.0107818847539629,0.0141838409458975,-0.760152683260414,0.0148034876777923,-0.728334091846312
"rho_36",-0.105494779594743,0.0143340365005063,-7.35973984655455,0.0154369459721821,-6.8339151918293
"rho_37",0.0283725717899658,0.0145008043817661,1.95662054621208,0.0170327763604275,1.66576318443799
"rho_38",-0.132674091037269,0.0163353919958479,-8.12187984659271,0.0163817251834629,-8.09890835985949
"rho_45",-0.0274300276621625,0.0141745854424099,-1.93515554818928,0.0137956953631018,-1.98830337581441
"rho_46",-0.066364550008698,0.0144557922029643,-4.59086220090307,0.0143740941505976,-4.6169552886878
"rho_47",-0.0533293669840934,0.014437624846174,-3.69377702719751,0.0149377650236343,-3.57010348601124
"rho_48",-0.131046323795762,0.0162873492644798,-8.04589633756756,0.0185848021859812,-7.05126277290225
"rho_56",-0.0845333629213682,0.0144051690534703,-5.86826594034337,0.0146755621272946,-5.76014480318592
"rho_57",0.021459093162984,0.0143388047377933,1.49657475329331,0.015841631146102,1.35460123803376
"rho_58",-0.0973296270811387,0.0165249520396445,-5.88985836979363,0.0180938172762494,-5.37916491557019
"rho_67",-0.0864744141234361,0.0140934768601195,-6.1357757905811,0.0197870609007079,-4.37025056714423
"rho_68",-0.12744485768029,0.0164004435048321,-7.77081776128435,0.0201003549845991,-6.34042820526991
"rho_78",-0.207045510084817,0.0183497392288161,-11.2832944110549,0.0367392879425389,-5.63553410203924
