"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"PH_1",-1338.77620100975,-698.491930961609,43.6557456851006,-2433.80782194436,-1236.91279441118,0,29.1038304567337,0,-65.4836185276508,65.4836185276508,25.465851649642,14.5519152283669,14.5519152283669,-232.83064365387,-87.3114913702011,-3.63797880709171,10.9139364212751,7.27595761418343,0,10.9139364212751,7.27595761418343,0,3.63797880709171,-112.777343019843,-54.5696821063757,7.27595761418343,-65.4836185276508,-25.465851649642,-43.6557456851006,-25.465851649642,-10.9139364212751,-10.9139364212751,-3.63797880709171
"theta_w_1",-698.491930961609,-363.797880709171,25.465851649642,-1266.01662486792,-636.64629124105,3.63797880709171,7.27595761418343,-3.63797880709171,-36.3797880709171,29.1038304567337,14.5519152283669,7.27595761418343,7.27595761418343,-116.415321826935,-43.6557456851006,0,7.27595761418343,7.27595761418343,3.63797880709171,7.27595761418343,7.27595761418343,0,3.63797880709171,-50.931703299284,-21.8278728425503,7.27595761418343,-29.1038304567337,-7.27595761418343,-18.1898940354586,-10.9139364212751,-3.63797880709171,-3.63797880709171,0
"sigma_1",43.6557456851006,25.465851649642,-54.5696821063757,141.881173476577,65.4836185276508,-14.5519152283669,-10.9139364212751,-7.27595761418343,3.63797880709171,-7.27595761418343,0,0,0,-18.1898940354586,7.27595761418343,0,-7.27595761418343,-3.63797880709171,0,0,-3.63797880709171,0,3.63797880709171,7.27595761418343,10.9139364212751,0,-18.1898940354586,-7.27595761418343,-7.27595761418343,-7.27595761418343,-3.63797880709171,-3.63797880709171,0
"PH_2",-2433.80782194436,-1266.01662486792,141.881173476577,-70380.3380019963,-36459.8236046731,21.8278728425503,316.504156216979,254.65851649642,552.97277867794,298.31426218152,-43.6557456851006,-40.0177668780088,10.9139364212751,-2652.08655036986,-1062.28981167078,-21.8278728425503,225.554686039686,109.139364212751,18.1898940354586,152.795109897852,218.278728425503,0,47.2937244921923,-974.978320300579,-723.957782611251,43.6557456851006,-345.607986673713,-138.243194669485,-323.780113831162,-120.053300634027,-87.3114913702011,-50.931703299284,-43.6557456851006
"theta_w_2",-1236.91279441118,-636.64629124105,65.4836185276508,-36459.8236046731,-20652.8056878597,-21.8278728425503,-10.9139364212751,54.5696821063757,232.83064365387,69.1215973347425,-25.465851649642,-109.139364212751,-25.465851649642,-1164.15321826935,-611.180439591408,-3.63797880709171,47.2937244921923,10.9139364212751,-14.5519152283669,32.7418092638254,47.2937244921923,0,10.9139364212751,-687.577994540334,-542.058842256665,25.465851649642,-200.088834390044,-87.3114913702011,-189.174897968769,-72.7595761418343,-50.931703299284,-25.465851649642,-25.465851649642
"sigma_2",0,3.63797880709171,-14.5519152283669,21.8278728425503,-21.8278728425503,-72.7595761418343,50.931703299284,25.465851649642,29.1038304567337,21.8278728425503,32.7418092638254,10.9139364212751,10.9139364212751,50.931703299284,7.27595761418343,3.63797880709171,-18.1898940354586,-7.27595761418343,-3.63797880709171,-7.27595761418343,-10.9139364212751,0,0,14.5519152283669,10.9139364212751,3.63797880709171,-21.8278728425503,-7.27595761418343,-10.9139364212751,-7.27595761418343,-3.63797880709171,-3.63797880709171,0
"asc_2",29.1038304567337,7.27595761418343,-10.9139364212751,316.504156216979,-10.9139364212751,50.931703299284,-334.694050252438,-170.985003933311,-134.605215862393,-174.622982740402,-98.2254277914762,-90.9494701772928,-50.931703299284,-396.539689972997,-83.6735125631094,7.27595761418343,36.3797880709171,18.1898940354586,21.8278728425503,25.465851649642,32.7418092638254,0,7.27595761418343,174.622982740402,112.777343019843,7.27595761418343,47.2937244921923,14.5519152283669,36.3797880709171,14.5519152283669,21.8278728425503,14.5519152283669,3.63797880709171
"x_female_2",0,-3.63797880709171,-7.27595761418343,254.65851649642,54.5696821063757,25.465851649642,-170.985003933311,-170.985003933311,-72.7595761418343,-101.863406598568,-47.2937244921923,-50.931703299284,-29.1038304567337,-225.554686039686,-47.2937244921923,3.63797880709171,14.5519152283669,18.1898940354586,10.9139364212751,14.5519152283669,14.5519152283669,0,3.63797880709171,47.2937244921923,32.7418092638254,3.63797880709171,10.9139364212751,10.9139364212751,10.9139364212751,3.63797880709171,3.63797880709171,3.63797880709171,0
"x_mayor45_2",-65.4836185276508,-36.3797880709171,3.63797880709171,552.97277867794,232.83064365387,29.1038304567337,-134.605215862393,-72.7595761418343,-138.243194669485,-54.5696821063757,-50.931703299284,-29.1038304567337,-18.1898940354586,-105.50138540566,-32.7418092638254,3.63797880709171,14.5519152283669,10.9139364212751,18.1898940354586,10.9139364212751,14.5519152283669,0,7.27595761418343,120.053300634027,80.0355337560177,3.63797880709171,32.7418092638254,10.9139364212751,36.3797880709171,7.27595761418343,14.5519152283669,7.27595761418343,3.63797880709171
"x_underage_in_household_2",65.4836185276508,29.1038304567337,-7.27595761418343,298.31426218152,69.1215973347425,21.8278728425503,-174.622982740402,-101.863406598568,-54.5696821063757,-178.260961547494,-43.6557456851006,-43.6557456851006,-25.465851649642,-283.762346953154,-50.931703299284,3.63797880709171,18.1898940354586,10.9139364212751,7.27595761418343,21.8278728425503,18.1898940354586,0,3.63797880709171,47.2937244921923,29.1038304567337,3.63797880709171,14.5519152283669,3.63797880709171,10.9139364212751,10.9139364212751,3.63797880709171,3.63797880709171,0
