"","alpha_1","beta_w1_1","beta_w2_1","beta_ta1_1","beta_ta2_1","beta_Ec1_1","beta_Ec2_1","beta_wta_1","beta_wEc_1","beta_taEc_1","alpha_2","beta_w1_2","beta_w2_2","beta_ta1_2","beta_ta2_2","beta_Ec1_2","beta_Ec2_2","beta_wta_2","beta_wEc_2","beta_taEc_2","alpha_3","beta_w1_3","beta_w2_3","beta_ta1_3","beta_ta2_3","beta_Ec1_3","beta_Ec2_3","beta_wta_3","beta_wEc_3","beta_taEc_3","alpha_4","beta_w1_4","beta_w2_4","beta_ta1_4","beta_ta2_4","beta_Ec1_4","beta_Ec2_4","beta_wta_4","beta_wEc_4","beta_taEc_4","sigma_1","sigma_2","sigma_3","sigma_4","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"alpha_1",-196.450855582952,-185.536919161677,-60561.4332016557,-640.284270048141,-33713.1496053189,-3696.18646800518,-2504097.21047617,2532.03324973583,-122130.586532876,-25083.8638748974,-7.27595761418343,7.27595761418343,-36.3797880709171,-50.931703299284,-436.557456851006,-149.15713109076,-12896.6348711401,80.0355337560177,-720.319803804159,1084.11768451333,0,-3.63797880709171,10.9139364212751,3.63797880709171,123.691279441118,-18.1898940354586,-1877.19706445932,-3.63797880709171,-61.8456397205591,21.8278728425503,-3.63797880709171,0,-61.8456397205591,3.63797880709171,94.5874489843845,32.7418092638254,-59717.4221184105,-116.415321826935,-2801.24368146062,625.732354819775,-32.7418092638254,-3.63797880709171,0,-3.63797880709171,29.1038304567337,21.8278728425503,10.9139364212751,10.9139364212751,7.27595761418343,14.5519152283669,7.27595761418343,7.27595761418343,3.63797880709171,0,3.63797880709171,0,0,0,-3.63797880709171,3.63797880709171,-3.63797880709171,-3.63797880709171,0,0,-3.63797880709171
"beta_w1_1",-185.536919161677,-60561.4332016557,-20661354.9380563,2532.03324973583,-147141.690831631,-122327.037388459,-63385177.7820382,1100688.67797963,-16864894.8601913,780113.623477519,7.27595761418343,-32.7418092638254,298.31426218152,80.0355337560177,2008.16430151463,-720.319803804159,-292948.24344106,-1633.45248438418,-12154.4871944934,-11987.1401693672,0,10.9139364212751,1989.97440747917,-3.63797880709171,-371.073838323355,-58.2076609134674,42899.0460932255,683.940015733242,11859.810911119,6348.27301837504,0,-61.8456397205591,1273.2925824821,-116.415321826935,833.097146824002,-2793.96772384644,-705491.402186453,-4012.69062422216,-80861.3549452275,-7876.22411735356,29.1038304567337,3.63797880709171,0,-3.63797880709171,-29.1038304567337,-29.1038304567337,-29.1038304567337,-7.27595761418343,-7.27595761418343,3.63797880709171,10.9139364212751,10.9139364212751,0,14.5519152283669,-3.63797880709171,10.9139364212751,14.5519152283669,0,18.1898940354586,10.9139364212751,18.1898940354586,7.27595761418343,7.27595761418343,0,-10.9139364212751
"beta_w2_1",-60561.4332016557,-20661354.9380563,-8532239175.11059,1100645.02223395,-52299852.5411822,-16878257.1563497,-10210871249.0008,476792385.597946,-6067694335.79757,531170102.476608,-32.7418092638254,301.952240988612,571.162672713399,-1629.81450557709,22326.2759391218,-12212.6948554069,-8009414.15945999,-36296.114558354,-385243.765776977,-264641.13034308,14.5519152283669,1997.25036509335,188159.90188159,683.940015733242,12383.6798593402,12067.1757031232,8402166.71349481,44648.9138994366,1325031.91707656,358588.295057416,-65.4836185276508,1291.48247651756,165164.237841964,-4019.96658183634,70867.8271621466,-80541.2128102034,-26463494.5779108,-223590.177483857,-3780609.40420255,-294530.764222145,-2572.05101661384,43.6557456851006,-112.777343019843,-40.0177668780088,312.866177409887,305.590219795704,123.691279441118,127.32925824821,189.174897968769,214.640749618411,189.174897968769,1055.0138540566,101.863406598568,971.340341493487,3.63797880709171,1095.03162093461,1022.27204479277,0,1731.67791217566,844.011083245277,1477.01939567924,705.767888575792,1127.77343019843,1524.31312017143,112.777343019843
"beta_ta1_1",-640.284270048141,2532.03324973583,1100645.02223395,-33713.1496053189,-361284.037353471,-25102.0537689328,-2432690.96245058,-147152.604768053,777094.101067632,-333628.12246196,-50.931703299284,80.0355337560177,-1633.45248438418,-432.919478043914,-22242.6024265587,1084.11768451333,-38475.263863802,2008.16430151463,-11979.864211753,6188.201950863,7.27595761418343,-3.63797880709171,680.30203692615,123.691279441118,2524.75729212165,21.8278728425503,67371.7295285314,-371.073838323355,6311.89323030412,-4944.01319883764,3.63797880709171,-116.415321826935,-4012.69062422216,98.2254277914762,-1095.03162093461,625.732354819775,-468007.783638313,836.735125631094,-7759.80879552662,-9255.01808524132,207.364792004228,36.3797880709171,0,32.7418092638254,-83.6735125631094,-40.0177668780088,-14.5519152283669,-112.777343019843,3.63797880709171,29.1038304567337,-7.27595761418343,50.931703299284,25.465851649642,10.9139364212751,14.5519152283669,25.465851649642,14.5519152283669,0,-185.536919161677,-87.3114913702011,-116.415321826935,-87.3114913702011,-80.0355337560177,-58.2076609134674,-40.0177668780088
"beta_ta2_1",-33713.1496053189,-147141.690831631,-52299852.5411822,-361284.037353471,-16523270.4603113,-333111.529471353,-600289851.718117,4137069.48165782,-56106408.0102369,-7351743.98869276,-436.557456851006,2011.80228032172,22326.2759391218,-22249.8783841729,-210497.091757134,6188.201950863,152194.843394682,21515.0066651404,53445.5466549844,629610.440228134,127.32925824821,-374.711817130446,12354.5760288835,2521.11931331456,65589.1199130565,-4936.73724122345,14970.2827911824,145.519152283669,64221.23988159,2884.91719402373,98.2254277914762,836.735125631094,70711.3940734416,-1095.03162093461,148724.211612716,-9280.48393689096,503550.836583599,-48876.2452732772,-353778.887074441,384974.555345252,-4944.01319883764,592.990545555949,40.0177668780088,-192.812876775861,2277.37473323941,2928.57293970883,971.340341493487,840.373104438186,480.213202536106,1597.07269631326,389.263732358813,1175.06715469062,669.388100504875,243.744580075145,323.780113831162,520.230969414115,498.403096571565,0,425.64352042973,1091.39364212751,676.664058119059,469.299266114831,549.334799870849,-258.296495303512,-207.364792004228
"beta_Ec1_1",-3696.18646800518,-122327.037388459,-16878257.1563497,-25102.0537689328,-333111.529471353,-2552838.85053359,-347498684.277525,778269.168222323,-66413937.0201156,-1922242.51804873,-145.519152283669,-716.681824997067,-12205.4188977927,1084.11768451333,6184.56397205591,-12751.1157188565,-5361791.40908644,-11987.1401693672,-304695.277009159,-39883.1616621464,-14.5519152283669,-58.2076609134674,12030.7959150523,21.8278728425503,-4933.09926241636,-1607.98663273454,44630.7240054011,6373.73887002468,56857.9707760364,72115.653892979,32.7418092638254,-2793.96772384644,-80533.9368525892,625.732354819775,-9276.84595808387,-58320.4382564873,-5223195.33047266,-7839.84432928264,-647640.263196081,-480420.56732811,2739.39804174006,29.1038304567337,-36.3797880709171,3.63797880709171,-905.856722965837,-578.438630327582,-607.542460784316,-374.711817130446,-345.607986673713,-43.6557456851006,112.777343019843,218.278728425503,83.6735125631094,123.691279441118,47.2937244921923,203.726813197136,178.260961547494,0,-1007.7201295644,-287.400325760245,-800.355337560177,-203.726813197136,-658.4741640836,-622.094376012683,-720.319803804159
"beta_Ec2_1",-2504097.21047617,-63385177.7820382,-10210871249.0008,-2432690.96245058,-600289851.718117,-347498684.277525,-317082514167.851,1037608115.43907,-19655295498.5236,-4907627182.547,-13253.1567942351,-322015.694109723,-9287283.31928141,-38780.8540835977,168281.985679641,-6095673.59788343,-2465015986.67237,-2662436.60007603,-157848349.772394,-30584877.0949524,-1498.84726852179,66775.1010041684,9914187.10327707,73654.5189283788,169278.791872784,242423.99376817,360270725.65048,3230601.57825239,65264564.9097394,31017574.6562891,-57647.4121771753,-577030.732529238,-15420737.3270765,-545671.355212107,2488610.33469439,-8673046.97749205,-8239181268.43637,-22830539.8195516,-1063379957.48618,110989851.236809,-327836.46020107,-4289.17701356113,-8258.21189209819,-49036.3163407892,41840.3942603618,46609.784476459,35190.1690009981,-20911.1021831632,52361.428970471,12958.4805108607,23417.6695812494,65727.363107726,7963.53560872376,66906.0682412237,-3634.34082828462,76728.6110203713,65163.4763926268,0,288462.615571916,115840.521175414,384516.170015559,-20820.1527129859,274671.037914231,173848.093254492,93532.4351303279
"beta_wta_1",2532.03324973583,1100688.67797963,476792385.597946,-147152.604768053,4137069.48165782,778269.168222323,1037608115.43907,-52302944.8231682,530841214.640532,-56292239.605682,76.397554948926,-1633.45248438418,-36299.7525371611,2008.16430151463,21482.2648558766,-11990.7781481743,-2537184.62772667,22329.9139179289,-264226.400759071,53376.4250576496,0,683.940015733242,44572.5163444877,-374.711817130446,152.795109897852,6373.73887002468,2789543.94161701,12369.1279441118,356350.938091055,65265.3397992253,-116.415321826935,-4012.69062422216,-222884.409595281,833.097146824002,-48836.2275063992,-7839.84432928264,-17126021.7030067,70642.2724761069,-284184.352494776,-349315.087078139,778.527464717627,-200.088834390044,-50.931703299284,-123.691279441118,196.450855582952,10.9139364212751,-29.1038304567337,134.605215862393,7.27595761418343,-109.139364212751,-7.27595761418343,138.243194669485,-83.6735125631094,261.934474110603,-69.1215973347425,203.726813197136,218.278728425503,0,-509.31703299284,-207.364792004228,-280.124368146062,163.709046319127,-316.504156216979,-618.456397205591,-251.020537689328
"beta_wEc_1",-122130.586532876,-16864894.8601913,-6067694335.79757,777094.101067632,-56106408.0102369,-66413937.0201156,-19655295498.5236,530841214.640532,-10433596722.5779,1096465162.84556,-723.957782611251,-12300.0063467771,-391555.659007281,-11987.1401693672,53336.4072907716,-306688.889395446,-141877710.120752,-264895.788859576,-8551938.66300397,-2644821.5066921,-54.5696821063757,12209.0568765998,1345331.83882013,6410.1186580956,66342.1815261245,59702.8702031821,54203934.2690259,362870.196113363,9235238.39446716,3082488.54707927,-2793.96772384644,-80119.2072685808,-3717537.765624,-8145.43454907835,-343083.229381591,-656920.747132972,-856760798.342293,-313993.950840086,-22962940.4202569,-18169197.574025,-25946.0648521781,-178.260961547494,-913.13268058002,-2200.97717829049,3616.15093424916,2935.84889732301,1538.86503539979,742.147676646709,2641.17261394858,1396.98386192322,1935.40472537279,8280.03976494074,774.889485910535,8050.84710009396,-218.278728425503,9036.73935681581,8287.31572255492,0,2313.75452131033,7192.28410162032,4823.95989820361,4056.34636990726,1477.01939567924,1688.02216649055,-12514.6470963955
"beta_taEc_1",-25083.8638748974,780113.623477519,531170102.476608,-333628.12246196,-7351743.98869276,-1922242.51804873,-4907627182.547,-56292239.605682,1096465162.84556,-632458759.355359,1084.11768451333,-11979.864211753,-264673.872152343,6210.02982370555,629977.876087651,-39821.3160224259,-28394704.713719,53700.2051714808,-2634747.94337526,132975.401356816,29.1038304567337,6384.65280644596,359919.795300812,-4940.37522003055,3255.99103234708,72424.8820915818,27593381.6737961,65807.398641482,3045734.04719122,129584.805108607,629.370333626866,-7752.53283791244,-283653.207588941,-9342.32957661152,386517.058359459,-482352.334074676,44723219.6165714,-354448.275174946,-18532413.3781251,1123753.46361659,4962.2030928731,-269.210431724787,-731.233740225434,-625.732354819775,-6049.95875619352,-1629.81450557709,-4638.42297904193,-1931.7667465657,-2994.05655823648,-2663.00048679113,858.562998473644,1520.67514136434,-320.142135024071,2371.9621822238,-1029.54800240695,2055.45802600682,1502.48524732888,0,2208.25313590467,1120.49747258425,2371.9621822238,4714.82053399086,3554.3052945286,-1036.82396002114,2746.67399935424
