"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_alimentos",0.83989747340989,0.242697108086036,3.46068183520402,0.0523932046865764,16.0306566172899
"bnpersonas_alimentos",0.252448476644527,0.0457127492157158,5.5224960426956,0.0095182428939788,26.5225924003499
"bnmenores6_alimentos",-0.022263324436111,0.298085682677118,-0.0746876677744574,0.0518520129107601,-0.42936278046577
"bnmenores12_alimentos",-0.0926026302381849,0.233060616596262,-0.397332812341278,0.0408545320910835,-2.26664278106848
"bntrabajadores_alimentos",-0.00619180157937399,0.069263326883203,-0.0893950934498868,0.014264070565599,-0.43408377369549
"bnprofesionales_alimentos",-0.0199203665647509,0.554417528198654,-0.035930261132749,0.0702471456883544,-0.283575458754238
"bedadpromedio_alimentos",0.0248761362039133,0.00348893745172883,7.13000348905272,0.000802882205910167,30.9835440626226
"bq2_alimentos",-0.203193321040025,0.142191556555008,-1.42901115905162,0.032708817129241,-6.21218799313824
"bq3_alimentos",-0.28931312690857,0.153865304487532,-1.88030126656665,0.0321896169494475,-8.98777787144608
"bq4_alimentos",-0.456146631895996,0.161347969715939,-2.82709867808726,0.0338364815653132,-13.4809120450515
"bq5_alimentos",-0.695307870137536,0.172729717594326,-4.0254096389513,0.0344651573583984,-20.1742258973933
"bnorte_alimentos",0.0855376035133602,0.144499423003715,0.591958097377046,0.0307352640452941,2.7830443684266
"bcentro_alimentos",-0.179609580479132,0.122553447032394,-1.46556122922969,0.0258529097985667,-6.94736421851785
"bsur_alimentos",-0.361576030936029,0.142916583369322,-2.52997953359724,0.0313394524678996,-11.5374074038589
"asc_vestimenta",0,NA,NA,NA,NA
"bnpersonas_vestimenta",0,NA,NA,NA,NA
"bnmenores6_vestimenta",0,NA,NA,NA,NA
"bnmenores12_vestimenta",0,NA,NA,NA,NA
"bntrabajadores_vestimenta",0,NA,NA,NA,NA
"bnprofesionales_vestimenta",0,NA,NA,NA,NA
"bedadpromedio_vestimenta",0,NA,NA,NA,NA
"bq2_vestimenta",0,NA,NA,NA,NA
"bq3_vestimenta",0,NA,NA,NA,NA
"bq4_vestimenta",0,NA,NA,NA,NA
"bq5_vestimenta",0,NA,NA,NA,NA
"bnorte_vestimenta",0,NA,NA,NA,NA
"bcentro_vestimenta",0,NA,NA,NA,NA
"bsur_vestimenta",0,NA,NA,NA,NA
"asc_cuentas",1.86370057040157,0.245467452259944,7.59245493951663,0.0592099565022151,31.4761347668251
"bnpersonas_cuentas",-0.00110967484894949,0.0468773899921082,-0.0236718564991844,0.0107111076447298,-0.103600382495967
"bnmenores6_cuentas",-0.040650451036881,0.310821012805023,-0.130784114851273,0.0640516171272995,-0.634651439886212
"bnmenores12_cuentas",-0.0628835106395036,0.243633558569547,-0.258106933251369,0.0504820807628469,-1.24566003796309
"bntrabajadores_cuentas",-0.0362492373348471,0.0708675034789681,-0.511507186726355,0.0161138875495311,-2.2495649931417
"bnprofesionales_cuentas",0.16247321036386,0.545959857387256,0.297591861682635,0.0768058747466416,2.11537477959606
"bedadpromedio_cuentas",0.00954180633908018,0.00353727033892893,2.69750554094472,0.000890234641758102,10.7183049181689
"bq2_cuentas",-0.17635643283921,0.144437940763079,-1.22098412582942,0.0354380881493322,-4.97646577592062
"bq3_cuentas",-0.256417062834594,0.156696432452133,-1.63639375078257,0.0359026834954058,-7.14200271039366
"bq4_cuentas",-0.32366364379975,0.164045702266125,-1.97300898059909,0.0372597443008805,-8.68668451361598
"bq5_cuentas",-0.506225587981772,0.175714308100985,-2.88095826374503,0.0380204208867083,-13.314570858913
"bnorte_cuentas",-0.114726891829888,0.148190213906081,-0.774186694288729,0.0343216578848423,-3.34269667901316
"bcentro_cuentas",-0.301646078271999,0.125349389448396,-2.40644234167715,0.0288444185776761,-10.4576931394781
"bsur_cuentas",0.037376200117961,0.143018935108145,0.26133742423476,0.0334735207534211,1.11659004719846
"asc_hogar",-0.312733200088356,0.289077751600525,-1.08183074746105,0.065600845399553,-4.76721295561973
"bnpersonas_hogar",0.057087807178839,0.0541591733668531,1.05407456631859,0.0112899422912196,5.05651895344382
"bnmenores6_hogar",0.0464976691466812,0.361652726998204,0.128569939269149,0.0685850391418262,0.677956442519908
"bnmenores12_hogar",-0.0576046531135211,0.283714390434132,-0.203037473796715,0.0543953825962884,-1.05899895108839
"bntrabajadores_hogar",-0.0966041689592829,0.0816101103316125,-1.18372795437653,0.0173046028359843,-5.58257071109417
"bnprofesionales_hogar",0.24160452104486,0.576040142645913,0.419423063009295,0.105202147917733,2.29657403225067
"bedadpromedio_hogar",0.0183996107258593,0.00406397842362149,4.52748730625962,0.0010460999363456,17.5887695683604
"bq2_hogar",0.0519598395577677,0.170388288465957,0.304949594984335,0.0415004758236435,1.25202997138084
"bq3_hogar",0.161210342708883,0.183206295200057,0.87993888273787,0.0406601653163207,3.96482260843573
"bq4_hogar",0.222596711223329,0.190301988723191,1.16970249610535,0.0428586574710753,5.19373970996541
"bq5_hogar",0.467452460796267,0.198029914386777,2.36051438109131,0.0425483084586437,10.9863935307939
"bnorte_hogar",-0.0506482395711675,0.171635758233085,-0.295091419716782,0.0384411551404573,-1.31755248733051
"bcentro_hogar",-0.0960409106975087,0.144613913660757,-0.664119435442473,0.0324531774180472,-2.95936849142236
"bsur_hogar",-0.0139507201556406,0.165860672197907,-0.0841110793220131,0.0383451352378469,-0.363819818840308
"asc_salud",-0.457765682166823,0.275866758814063,-1.65937238736097,0.072166117348144,-6.34322170830486
"bnpersonas_salud",0.0941516680716419,0.0514427731492303,1.83022147345201,0.0124200152075041,7.58064032117741
"bnmenores6_salud",-0.0637152966030647,0.358826442893498,-0.177565778289021,0.0777104243380082,-0.819906687498315
"bnmenores12_salud",-0.0411960118314063,0.282423480748213,-0.145866100517802,0.0605789542013536,-0.680038346229584
"bntrabajadores_salud",-0.120383796777114,0.0774618520694797,-1.55410429212479,0.0182844691455812,-6.58393721024202
"bnprofesionales_salud",0.0746146012594771,0.575498686850857,0.129652079082526,0.0969439943309161,0.769667082261763
