"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.396868619594145,0.0223642571866731,17.7456651603273,0.0676117474911037,5.86981751427686
"theta_w_1",0.23463308904259,0.0382289602301565,6.13757443650017,0.113793790973156,2.06191468827979
"theta_1_1",0.284659096338753,0.00283138770412539,100.536954343624,0.00461471063570576,61.6851453558622
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.488980936463962,0.00279503929551385,174.945997091632,0.00387146967148347,126.303698067353
"sigma_1_1",9.03041230447656,0.15358951081987,58.7957618737873,0.564655154121927,15.9927917748655
"sigma_2_1",7.56277189557471,0.109924329719842,68.7997999610232,0.212546632236441,35.5817065459863
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",8.76780606337023,0.107310495424288,81.7050189611352,0.18362868160018,47.7474759768771
"rho_12_1",-0.434113903319125,0.0144520601204902,-30.0382021455637,0.0212251060905455,-20.4528496332227
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.582524790303616,0.0121009292165675,-48.138847842038,0.025555442988111,-22.7945487219541
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.363600089820394,0.0149726431699922,-24.284295410787,0.0301363466224164,-12.0651681630824
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.54300991125735,0.0588048528265035,9.23410033623304,0.227823772427741,2.38346466424867
"theta_w_2",-0.262696519181677,0.0979294052350701,-2.68250908448896,0.380663385027911,-0.690101884010764
"theta_1_2",0.272868557547879,0.00648961831570241,42.0469346999408,0.0132927426841539,20.5276340655539
"theta_2_2",0.144834801216297,0.00393790706423207,36.7796392484293,0.00652118287227476,22.2098972001033
"theta_3_2",0.421621452741124,0.0054502578637609,77.3580742930553,0.00834399114556856,50.5299496830177
"sigma_1_2",8.87436658813036,0.370040152433427,23.9821720150408,1.63168260358034,5.43878237633818
"sigma_2_2",8.38480011461926,0.289182648490886,28.9948244072587,0.754038562989611,11.1198558351913
"sigma_3_2",5.41817760444119,0.122961569237992,44.0639920100101,0.240493998266928,22.5293672336366
"sigma_4_2",8.43389243928785,0.199774357017051,42.2170921494595,0.268720677394592,31.3853497284224
"rho_12_2",-0.384646372107579,0.030531781954562,-12.5982287139355,0.0390275413108472,-9.85576747056498
"rho_13_2",-0.183347316076729,0.0374560512667513,-4.89499853497589,0.0578839590675819,-3.16749785312135
"rho_14_2",-0.462825359288735,0.0327317197779061,-14.1399646101437,0.100868145810381,-4.58841942191329
"rho_23_2",-0.248124221205809,0.039801695089442,-6.23401140700732,0.0734394326983755,-3.3786238821436
"rho_24_2",-0.389502896474961,0.0327599823753843,-11.8895942009917,0.0846551143854156,-4.60105569879266
"rho_34_2",-0.142060007719952,0.0359420601317108,-3.95247259615527,0.0474052858253659,-2.9967123970791
"asc_2",-0.357412622869836,0.0968570128242959,-3.69010578013802,0.122294334619064,-2.92256075461831
"x_female_2",-0.823370465131716,0.0885077594392093,-9.30280543026558,0.0968064649700305,-8.50532519069481
"x_mayor45_2",-1.24005247766505,0.101593945200602,-12.2059683302633,0.132135077586211,-9.38473341309379
"x_underage_in_household_2",-0.546028387880389,0.0931312722272637,-5.86299719548491,0.112760151015901,-4.84238787338436
"x_only_worker_2",-0.137617102342304,0.0905621273051818,-1.51958778395911,0.0941736305844068,-1.46131248724619
"x_university_2",0.117577655448524,0.0905774729242624,1.29808937755239,0.0975935630865451,1.20476854958413
"x_metropolitana_2",0.217808028892349,0.115764237618821,1.88147940480141,0.179514958329926,1.21331409325815
