"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"PH_1",0.396855677159755,0.0255484742018914,15.5334394541015,0.124773561100378,3.18060712269398
"theta_w_1",0.234650685280153,0.043702532397263,5.3692697518565,0.211174400041601,1.11117012873685
"theta_1_1",0.284663791764131,0.00278352754436004,102.267280358305,0.00416655977332674,68.3210627593721
"theta_2_1",0,NA,NA,NA,NA
"theta_3_1",0.488977158944932,0.00278140172806045,175.802421495549,0.00386932165556156,126.372838050851
"sigma_1_1",9.03039597590045,0.181502716747052,49.7535030755793,1.04310239417087,8.65724786594746
"sigma_2_1",7.56302863184817,0.105817925873225,71.4720929316741,0.185596258575916,40.7498981384617
"sigma_3_1",0,NA,NA,NA,NA
"sigma_4_1",8.76779767717801,0.111019039857014,78.9756215552794,0.310975599409869,28.1944875862172
"rho_12_1",-0.434130180874984,0.0137419496336123,-31.5916003514609,0.0162932252142232,-26.6448278451346
"rho_13_1",0,NA,NA,NA,NA
"rho_14_1",-0.582506658713608,0.0122288179580183,-47.6339300097001,0.0380192228715018,-15.3213720512483
"rho_23_1",0,NA,NA,NA,NA
"rho_24_1",-0.363607354094656,0.0151450090910242,-24.0083945746953,0.0450302931762523,-8.07472766547326
"rho_34_1",0,NA,NA,NA,NA
"asc_1",0,NA,NA,NA,NA
"x_female_1",0,NA,NA,NA,NA
"x_mayor45_1",0,NA,NA,NA,NA
"x_underage_in_household_1",0,NA,NA,NA,NA
"x_only_worker_1",0,NA,NA,NA,NA
"x_university_1",0,NA,NA,NA,NA
"x_metropolitana_1",0,NA,NA,NA,NA
"PH_2",0.543079209147301,0.0706910961499954,7.68242733137101,0.41196019759897,1.31828077642581
"theta_w_2",-0.262796112516035,0.117997754835755,-2.22712807444369,0.688627657718731,-0.381622941760167
"theta_1_2",0.272847245131223,0.00626439087251604,43.5552714835044,0.0116378698200673,23.4447754915379
"theta_2_2",0.144842008938209,0.00387547017818842,37.3740481228307,0.00586287096117893,24.7049627899509
"theta_3_2",0.421633116958474,0.00540359092401368,78.0283191099324,0.00805247341145355,52.3606965729012
"sigma_1_2",8.87424592092153,0.556545589282678,15.9452272946038,3.68064111768035,2.41105982278281
"sigma_2_2",8.3834491988739,0.22969274449498,36.4985372842593,0.490360147866528,17.0965141342518
"sigma_3_2",5.41800926964451,0.127815600752192,42.3892642037408,0.274087578007705,19.7674382364465
"sigma_4_2",8.43395906787548,0.34098596217583,24.7340360115074,1.71217573304975,4.9258723302034
"rho_12_2",-0.38457664881125,0.0309254225721104,-12.435614999747,0.0592439153890555,-6.49141175571754
"rho_13_2",-0.183405077022671,0.0357716719981515,-5.1271038444093,0.0549898428513086,-3.33525370346292
"rho_14_2",-0.46287830393529,0.0424110215971526,-10.9141040820004,0.232452806125734,-1.99127862403571
"rho_23_2",-0.248024811899996,0.0396349340761048,-6.25773241917728,0.0902597784867833,-2.74789962991449
"rho_24_2",-0.389490661631332,0.0333918817503541,-11.6642321790446,0.119096092465723,-3.27038993108386
"rho_34_2",-0.142124888724995,0.035073148907246,-4.05224204706731,0.040230687138969,-3.53274822858612
"asc_2",-0.357462681906556,0.0963275785074942,-3.71090696397757,0.152417268983429,-2.34528990245469
"x_female_2",-0.823374294327522,0.0937349459690785,-8.78406965315943,0.206699326066517,-3.98343966570338
"x_mayor45_2",-1.23992249443748,0.100624179190296,-12.3223116393585,0.149905957362485,-8.27133568440677
"x_underage_in_household_2",-0.546017621213386,0.0923798379401533,-5.91057132582452,0.202978162476654,-2.69003135387131
"x_only_worker_2",-0.137637317232456,0.0995303330109229,-1.38286804704402,0.27491156500996,-0.500660338634607
"x_university_2",0.117583076210276,0.0914439607629839,1.28584846095023,0.0939872570577828,1.2510533862903
"x_metropolitana_2",0.217790446406485,0.11163837490468,1.95085647379264,0.134555098950176,1.61859675408607
